Ref,Val,Package,PosX,PosY,Rot,Side
"J6","RPi-GPIO-SKT-TH-EXT_002","SKT-02x20-TH-EXT",8.370000,51.230000,-90.000000,bottom
"C1","CAP-10U-20%-16V-X5R-0603_004","C_0603_1608Metric",55.100000,48.650000,0.000000,top
"C2","CAP-100N-10%-50V-X7R-0603_002","C_0603_1608Metric",4.000000,16.350000,90.000000,top
"C3","CAP-EL-470U-20%-10V-ALUM-6.3MM-7.7MM_002","CP_Elec_6.3x7.7",10.100000,18.250000,180.000000,top
"C4","CAP-10U-20%-16V-X5R-0603_004","C_0603_1608Metric",55.850000,30.825000,0.000000,top
"C5","CAP-10U-20%-16V-X5R-0603_004","C_0603_1608Metric",55.850000,38.225000,180.000000,top
"C6","CAP-EL-470U-20%-10V-ALUM-6.3MM-7.7MM_002","CP_Elec_6.3x7.7",10.100000,25.400000,180.000000,top
"C7","CAP-10U-20%-16V-X5R-0603_004","C_0603_1608Metric",53.550000,31.600000,90.000000,top
"C8","CAP-10U-20%-16V-X5R-0603_004","C_0603_1608Metric",53.550000,39.000000,-90.000000,top
"C9","CAP-EL-470U-20%-10V-ALUM-6.3MM-7.7MM_002","CP_Elec_6.3x7.7",10.100000,32.550000,180.000000,top
"C10","CAP-EL-470U-20%-10V-ALUM-6.3MM-7.7MM_002","CP_Elec_6.3x7.7",10.100000,39.700000,180.000000,top
"C11","CAP-100N-10%-50V-X7R-0603_002","C_0603_1608Metric",49.500000,29.300000,0.000000,top
"C12","CAP-100N-10%-50V-X7R-0603_002","C_0603_1608Metric",49.500000,43.400000,180.000000,top
"C13","CAP-10U-20%-16V-X5R-0603_004","C_0603_1608Metric",49.500000,27.800000,0.000000,top
"C14","CAP-10U-20%-16V-X5R-0603_004","C_0603_1608Metric",49.500000,44.900000,180.000000,top
"C15","CAP-EL-100U-20%-16V-ALUM-5.0MM-5.4MM_002","CP_Elec_5x5.4",3.550000,44.250000,-90.000000,top
"C16","CAP-EL-100U-20%-16V-ALUM-5.0MM-5.4MM_002","CP_Elec_5x5.4",53.750000,24.500000,0.000000,top
"C17","CAP-EL-100U-20%-16V-ALUM-5.0MM-5.4MM_002","CP_Elec_5x5.4",44.750000,42.500000,-90.000000,top
"C18","CAP-10U-20%-16V-X5R-0603_004","C_0603_1608Metric",24.500000,46.000000,-90.000000,top
"C19","CAP-10U-20%-16V-X5R-0603_004","C_0603_1608Metric",46.480000,32.380000,90.000000,top
"C20","CAP-100N-10%-16V-X7R-0402_002","C_0402_1005Metric",41.790000,33.750000,-90.000000,top
"C21","CAP-100N-10%-16V-X7R-0402_002","C_0402_1005Metric",30.000000,46.480000,-90.000000,top
"C22","CAP-10U-20%-16V-X5R-0603_004","C_0603_1608Metric",44.175000,35.540000,0.000000,top
"C23","CAP-10U-20%-16V-X5R-0603_004","C_0603_1608Metric",31.275000,46.000000,-90.000000,top
"C24","CAP-EL-100U-20%-16V-ALUM-5.0MM-5.4MM_002","CP_Elec_5x5.4",19.250000,42.700000,90.000000,top
"C25","CAP-2.2U-20%-16V-X5R-0402_002","C_0402_1005Metric",30.250000,37.600000,180.000000,top
"C26","CAP-10U-20%-16V-X5R-0603_004","C_0603_1608Metric",26.140000,37.080000,90.000000,top
"C27","CAP-10U-20%-16V-X5R-0603_004","C_0603_1608Metric",17.295000,37.970000,180.000000,top
"C28","CAP-100N-10%-16V-X7R-0402_002","C_0402_1005Metric",24.900000,36.555000,90.000000,top
"C29","CAP-100N-10%-16V-X7R-0402_002","C_0402_1005Metric",17.000000,36.725000,180.000000,top
"C30","CAP-2.2U-20%-16V-X5R-0402_002","C_0402_1005Metric",32.500000,41.100000,180.000000,top
"C31","CAP-100N-10%-16V-X7R-0402_002","C_0402_1005Metric",32.500000,42.050000,180.000000,top
"C32","CAP-10U-20%-16V-X5R-0603_004","C_0603_1608Metric",19.455000,32.300000,0.000000,top
"C33","CAP-100N-10%-16V-X7R-0402_002","C_0402_1005Metric",19.750000,33.500000,0.000000,top
"C34","CAP-2.2U-20%-16V-X5R-0402_002","C_0402_1005Metric",25.300000,35.100000,180.000000,top
"C35","CAP-2.2U-20%-16V-X5R-0402_002","C_0402_1005Metric",17.000000,35.750000,0.000000,top
"C36","CAP-4.7U-20%-10V-X5R-0402_002","C_0402_1005Metric",39.750000,26.750000,-90.000000,top
"C37","CAP-4.7U-20%-10V-X5R-0402_002","C_0402_1005Metric",25.250000,26.750000,-90.000000,top
"C38","CAP-470P-5%-50V-C0G-0402_002","C_0402_1005Metric",44.500000,23.050000,-90.000000,top
"C39","CAP-470P-5%-50V-C0G-0402_002","C_0402_1005Metric",35.000000,23.050000,-90.000000,top
"C40","CAP-470P-5%-50V-C0G-0402_002","C_0402_1005Metric",30.000000,23.050000,-90.000000,top
"C41","CAP-470P-5%-50V-C0G-0402_002","C_0402_1005Metric",20.500000,23.050000,-90.000000,top
"C42","CAP-2.2N-2%-50V-C0G-0402_001","C_0402_1005Metric",36.000000,15.000000,-90.000000,top
"C43","CAP-2.2N-2%-50V-C0G-0402_001","C_0402_1005Metric",36.000000,17.000000,90.000000,top
"C44","CAP-2.2N-2%-50V-C0G-0402_001","C_0402_1005Metric",43.500000,15.000000,-90.000000,top
"C45","CAP-2.2N-2%-50V-C0G-0402_001","C_0402_1005Metric",43.500000,17.000000,90.000000,top
"C46","CAP-2.2N-2%-50V-C0G-0402_001","C_0402_1005Metric",21.500000,15.000000,-90.000000,top
"C47","CAP-2.2N-2%-50V-C0G-0402_001","C_0402_1005Metric",21.500000,17.000000,90.000000,top
"C48","CAP-2.2N-2%-50V-C0G-0402_001","C_0402_1005Metric",29.000000,15.000000,-90.000000,top
"C49","CAP-2.2N-2%-50V-C0G-0402_001","C_0402_1005Metric",29.000000,17.000000,90.000000,top
"C50","CAP-2.2U-20%-16V-X5R-0402_002","C_0402_1005Metric",37.050000,22.050000,180.000000,top
"C51","CAP-2.2U-20%-16V-X5R-0402_002","C_0402_1005Metric",41.750000,26.750000,90.000000,top
"C52","CAP-2.2U-20%-16V-X5R-0402_002","C_0402_1005Metric",22.550000,22.050000,180.000000,top
"C53","CAP-2.2U-20%-16V-X5R-0402_002","C_0402_1005Metric",27.250000,26.750000,90.000000,top
"C54","CAP-2.2U-20%-16V-X5R-0402_002","C_0402_1005Metric",37.500000,13.250000,180.000000,top
"C55","CAP-2.2U-20%-16V-X5R-0402_002","C_0402_1005Metric",41.500000,18.250000,90.000000,top
"C56","CAP-4.7U-20%-10V-X5R-0402_002","C_0402_1005Metric",37.000000,34.750000,0.000000,top
"C57","CAP-4.7U-20%-10V-X5R-0402_002","C_0402_1005Metric",37.000000,33.750000,0.000000,top
"C58","CAP-4.7U-20%-10V-X5R-0402_002","C_0402_1005Metric",36.500000,36.250000,0.000000,top
"C59","CAP-4.7U-20%-10V-X5R-0402_002","C_0402_1005Metric",37.000000,31.750000,180.000000,top
"C60","CAP-4.7U-20%-10V-X5R-0402_002","C_0402_1005Metric",37.000000,32.750000,180.000000,top
"C61","CAP-2.2U-20%-16V-X5R-0402_002","C_0402_1005Metric",23.000000,13.250000,180.000000,top
"C62","CAP-2.2U-20%-16V-X5R-0402_002","C_0402_1005Metric",27.000000,18.250000,90.000000,top
"D1","ZENER-5.6V-5W-SMB_003","D_SMB",4.000000,11.100000,-90.000000,top
"D2","LED-RED-0402_002","LED_0402_1005Metric",2.150000,17.550000,180.000000,top
"D3","LED-RED-0402_002","LED_0402_1005Metric",40.250000,38.750000,0.000000,top
"D4","LED-RED-0402_002","LED_0402_1005Metric",40.250000,35.750000,0.000000,top
"FB1","FERR-BEAD-600OHM@100MHZ-0.7A-0.34OHM-0402","L_0402_1005Metric",32.500000,43.000000,0.000000,top
"FID1","FID_001","Fiducial_0.5mm_Mask1mm",34.500000,45.070000,0.000000,top
"FID2","FID_001","Fiducial_0.5mm_Mask1mm",32.500000,19.750000,0.000000,top
"FID3","FID_001","Fiducial_0.5mm_Mask1mm",63.040000,50.110000,0.000000,top
"FID4","FID_001","Fiducial_0.5mm_Mask1mm",4.750000,54.750000,0.000000,top
"FID5","FID_001","Fiducial_0.5mm_Mask1mm",59.750000,1.250000,0.000000,top
"FID6","FID_001","Fiducial_0.5mm_Mask1mm",5.500000,5.500000,0.000000,top
"J1","BARREL-JACK-SW_002","BarrelJack",11.500000,13.000000,0.000000,top
"J2","CONN-HDR-01X02-2.54-TH_002","PinHeader_2x01_P2.54mm_Vertical",8.370000,46.450000,0.000000,top
"J3","PJ-320A","TRRS-PJ-320A",22.500000,0.000000,180.000000,top
"J4","PJ-320A","TRRS-PJ-320A",42.500000,0.000000,180.000000,top
"J5","PJ-320A","TRRS-PJ-320A",32.500000,0.000000,180.000000,top
"L1","IND-4.7U-20%-1.55A-0.196OHM-1008_002","L_1008_2520Metric",55.400000,46.500000,180.000000,top
"L2","IND-4.7U-20%-1.55A-0.196OHM-1008_002","L_1008_2520Metric",55.950000,33.550000,90.000000,top
"L3","IND-4.7U-20%-1.55A-0.196OHM-1008_002","L_1008_2520Metric",55.950000,40.950000,90.000000,top
"PS1","A0512S-2W-1.5KV-SIP_002","Converter_DCDC_XP_POWER-IHxxxxS_THT",63.350000,46.500000,0.000000,top
"R1","RES-1K-5%-0.063W-0402_002","R_0402_1005Metric",2.200000,16.080000,90.000000,top
"R2","RES-1K-5%-0.063W-0402_002","R_0402_1005Metric",40.250000,37.750000,0.000000,top
"R3","RES-1K-5%-0.063W-0402_002","R_0402_1005Metric",40.250000,36.750000,0.000000,top
"R4","RES-10K-1%-0.063W-0402_002","R_0402_1005Metric",38.100000,42.000000,-90.000000,top
"R5","RES-10K-1%-0.063W-0402_002","R_0402_1005Metric",19.750000,38.000000,180.000000,top
"R6","RES-3.3-1%-0.1W-0603_002","R_0603_1608Metric",18.680000,30.050000,90.000000,top
"R7","RES-10K-1%-0.063W-0402_002","R_0402_1005Metric",32.500000,44.000000,0.000000,top
"R8","RES-0-1%-0.1W-0603_002","R_0603_1608Metric",34.750000,30.000000,180.000000,top
"R9","RES-0-1%-0.1W-0603_002","R_0603_1608Metric",34.750000,28.500000,180.000000,top
"R10","RES-0-1%-0.1W-0603_002","R_0603_1608Metric",30.250000,28.500000,0.000000,top
"R11","RES-0-1%-0.1W-0603_002","R_0603_1608Metric",30.250000,30.000000,0.000000,top
"R12","RES-10-1%-0.063W-0402_002","R_0402_1005Metric",27.950000,40.100000,0.000000,top
"R13","RES-10K-1%-0.063W-0402_002","R_0402_1005Metric",38.750000,26.750000,-90.000000,top
